"","X","AgentNo","Perceived_Support","Vulnerability_Group","Distress","MDD_onset","Appropriate_Received_support_count","Inappropriate_Received_support_count"
"1",1,1,0,"L",45.4715516408397,1,0,4
"2",2,2,0,"L",34.915347101514,NA,0,9
"3",3,3,8.01146813100204,"L",8.904502701082,NA,0,2
"4",4,4,0,"L",44.5577822073871,1,0,5
"5",5,5,0.93024106128141,"L",40.8862208234993,1,0,2
"6",6,6,0,"L",45.0540744280273,1,0,8
"7",7,7,8.32153667062521,"L",8.82420361908999,NA,0,1
"8",8,8,1.13493552291766,"L",32.2930086272684,NA,0,5
"9",9,9,0,"L",48,1,0,4
"10",10,10,0,"L",47.9891958788037,1,0,7
"11",11,11,0,"L",45.2559049955231,1,0,2
"12",12,12,6.87876444803551,"L",8.62902786311777,NA,0,4
"13",13,13,2.70399539591745,"L",24.5552928178148,NA,0,5
"14",14,14,2.2132210153155,"L",22.751399205896,NA,0,7
"15",15,15,1.12200998663902,"L",36.6766836946661,NA,0,3
"16",16,16,3.04951175209135,"L",22.7930396272377,NA,0,5
"17",17,17,3.32221692986786,"L",22.1121443060312,NA,0,5
"18",18,18,6.46213908540085,"L",8.34702944552356,NA,0,5
"19",19,19,5.96779610356316,"L",13.6223442753608,NA,0,5
"20",20,20,0,"L",44.3248480266129,1,0,6
"21",21,21,0,"L",47.7608040396124,1,0,3
"22",22,22,2.2252378795296,"L",30.9080528893254,NA,0,3
"23",23,23,1.37909042276442,"L",32.1821508824825,NA,0,5
"24",24,24,3.59797924850136,"L",22.8179087338122,NA,0,5
"25",25,25,6.98269898537546,"L",17.5300407910889,NA,0,0
"26",26,26,0,"L",41.0854576374404,1,0,4
"27",27,27,0,"L",43.2793977149508,1,0,4
"28",28,28,6.00332400854677,"L",9.58549523543228,NA,0,5
"29",29,29,5.50776896458119,"L",11.3660990636457,NA,0,6
"30",30,30,0,"L",44.7379685902291,1,0,3
"31",31,31,0.82786781340837,"L",34.8420313596726,NA,0,5
"32",32,32,0,"L",46.7204251330431,1,0,5
"33",33,33,4.64628897001967,"L",15.188920858096,NA,0,5
"34",34,34,4.04503662530333,"L",19.4034765441309,NA,0,6
"35",35,35,0.911787443235519,"L",28.1122002476995,NA,0,7
"36",36,36,0.962076710257679,"L",32.5382107188756,NA,0,6
"37",37,37,0,"L",30.3471287262965,NA,0,7
"38",38,38,0.930616418458519,"L",26.375491992181,NA,0,8
"39",39,39,4.927124222368,"L",18.0361852114851,NA,0,3
"40",40,40,0,"L",45.7867839117281,1,0,6
"41",41,41,5.57394765978679,"L",19.0955011209304,NA,0,3
"42",42,42,5.19842947265133,"L",20.6704895738851,NA,0,2
"43",43,43,2.249157710094,"L",31.3127663559534,NA,0,3
"44",44,44,4.55132058914751,"L",19.9306010655381,NA,0,5
"45",45,45,0,"L",44.4776350070638,1,0,4
"46",46,46,0.41514104893431,"L",39.5702936046503,NA,0,3
"47",47,47,0,"L",38.0244858354669,NA,0,7
"48",48,48,0,"L",47.7192549303343,1,0,8
"49",49,49,0,"L",43.1570653779094,1,0,6
"50",50,50,4.21731968270615,"L",21.7698777481913,NA,0,5
"51",51,51,0,"L",45.9843245120888,1,0,5
"52",52,52,0,"L",43.601394793967,1,0,5
"53",53,53,0.478549490123989,"L",32.8663294976408,NA,0,7
"54",54,54,0.42572389487177,"L",40.5422957314686,1,0,2
"55",55,55,4.46342598209158,"L",18.405050259964,NA,0,4
"56",56,56,0,"L",48,1,0,2
"57",57,57,0,"L",46.3882817359472,1,0,7
"58",58,58,0,"L",41.2126829225401,1,0,5
"59",59,59,1.09503375031054,"L",40.2943981804631,1,0,2
"60",60,60,5.45494775380939,"L",12.3602279833772,NA,0,5
"61",61,61,1.90439406577498,"L",34.0262804402546,NA,0,4
"62",62,62,0,"L",46.2886166672645,1,0,5
"63",63,63,0,"L",46.732277235575,1,0,4
"64",64,64,0,"L",39.5846102975986,NA,0,6
"65",65,65,6.68038976276293,"L",14.6492083079436,NA,0,2
"66",66,66,3.5981858025305,"L",18.1079164980487,NA,0,6
"67",67,67,0,"L",47.1960849498907,1,0,5
"68",68,68,2.70043946662918,"L",25.3344459637999,NA,0,5
"69",69,69,3.91384683344513,"L",22.6486683631485,NA,0,4
"70",70,70,0,"L",36.9703503612175,NA,0,5
"71",71,71,5.52969891605899,"L",14.3885865481062,NA,0,4
"72",72,72,0.46253174468875,"L",34.9089523868127,NA,0,6
"73",73,73,3.75836144126952,"L",17.0907864380966,NA,0,6
"74",74,74,0.467700599599629,"L",32.3409428381107,NA,0,7
"75",75,75,4.38514586500823,"L",23.5829998617823,NA,0,3
"76",76,76,4.38916713129729,"L",23.4381797907027,NA,0,2
"77",77,77,1.82214967766777,"L",31.2669832247225,NA,0,5
"78",78,78,5.65056908437982,"L",13.1611530863426,NA,0,4
"79",79,79,0.17760849650949,"L",35.1977083788677,NA,0,5
"80",80,80,6.07522728880867,"L",13.4717354670167,NA,0,4
"81",81,81,7.05071613220498,"L",10.9332386958328,NA,0,4
"82",82,82,0,"L",43.9741331126117,1,0,3
"83",83,83,0.98882581666112,"L",33.7578509818424,NA,0,5
"84",84,84,0,"L",47.0555327188816,1,0,3
"85",85,85,4.12366380142048,"L",17.0240125028925,NA,0,6
"86",86,86,2.57060392452404,"L",21.2555465111678,NA,0,6
"87",87,87,5.88418211750686,"L",15.0690234872428,NA,0,3
"88",88,88,5.77655295301229,"L",9.68413256867364,NA,0,6
"89",89,89,3.21637049010023,"L",21.237656043199,NA,0,6
"90",90,90,2.19046556353569,"L",32.0143320863897,NA,0,3
"91",91,91,1.77216929681599,"L",40.2668976138939,1,0,1
"92",92,92,0,"L",44.4739197783257,1,0,4
"93",93,93,2.48638280229643,"L",30.9139659536156,NA,0,4
"94",94,94,2.40655373074114,"L",21.1441291749478,NA,0,7
"95",95,95,1.80606454834342,"L",24.6553546981378,NA,0,7
"96",96,96,4.76628638533875,"L",23.3834775912491,NA,0,3
"97",97,97,0.94193891948089,"L",34.7260847149925,NA,0,5
"98",98,98,0,"L",38.686840523373,NA,0,7
"99",99,99,4.1972894962877,"L",24.0209185616537,NA,0,3
"100",100,100,2.48941067866981,"L",27.4643897658045,NA,0,4
"101",101,101,0.49280625265092,"L",37.3222999884323,NA,0,3
"102",102,102,0.42264961730689,"L",36.6102562153881,NA,0,5
"103",103,103,1.43029175661504,"L",33.4223632438616,NA,0,3
"104",104,104,7.9202894856222,"L",8.53873679001222,NA,0,2
"105",105,105,5.8485173127614,"L",15.6064699079503,NA,0,3
"106",106,106,2.5350978740491,"L",27.5195729132403,NA,0,4
"107",107,107,1.46021051025018,"L",29.7918086825447,NA,0,6
"108",108,108,5.34665049910545,"L",9.71461600390349,NA,0,6
"109",109,109,4.4059808159247,"L",21.1375382577831,NA,0,4
"110",110,110,0,"L",35.4531362174502,NA,0,7
"111",111,111,5.10672166571021,"L",15.2797600041736,NA,0,5
"112",112,112,2.67274786746129,"L",28.573463851078,NA,0,4
"113",113,113,0.34845379376784,"L",39.6703834453767,NA,0,3
"114",114,114,3.30816135965288,"L",20.0734777033329,NA,0,7
"115",115,115,2.84700668947771,"L",32.8403344459154,NA,0,1
"116",116,116,0,"L",36.8881128686903,NA,0,6
"117",117,117,3.88083024006337,"L",15.8563771342689,NA,0,8
"118",118,118,2.54462271723896,"L",26.3961917793209,NA,0,4
"119",119,119,3.48232185356319,"L",12.2498682753606,NA,0,9
"120",120,120,0,"L",43.9646216918714,1,0,6
"121",121,121,0,"L",42.7590907711197,1,0,4
"122",122,122,2.65070865359157,"L",29.3696349661459,NA,0,3
"123",123,123,0.84947112444788,"L",36.0841260024093,NA,0,3
"124",124,124,4.75175832659006,"L",18.8014182112434,NA,0,4
"125",125,125,0,"L",39.1274940016849,NA,0,5
"126",126,126,0,"L",43.3737090650438,1,0,3
"127",127,127,1.06992399375886,"L",29.4585134817795,NA,0,8
"128",128,128,5.43144246889278,"L",16.2173419539224,NA,0,5
"129",129,129,0,"L",46.7746721472252,1,0,5
"130",130,130,2.48950909813866,"L",20.9730512081222,NA,0,7
"131",131,131,3.04769811416045,"L",29.2918627745726,NA,0,3
"132",132,132,3.01918465374038,"L",27.5071942382238,NA,0,3
"133",133,133,3.81591471135616,"L",14.8032812595368,NA,0,7
"134",134,134,2.11408089241013,"L",29.5476470149376,NA,0,5
"135",135,135,3.43815125515684,"L",20.0153399774974,NA,0,7
"136",136,136,4.28692918131128,"L",18.1570362997326,NA,0,5
"137",137,137,4.6289973096922,"L",25.5734662849795,NA,0,3
"138",138,138,0,"L",48,1,0,7
"139",139,139,0.773188665974889,"L",34.5079040030187,NA,0,5
"140",140,140,0,"L",47.8405396083455,1,0,4
"141",141,141,2.03618783401325,"L",34.4057258152149,NA,0,2
"142",142,142,0,"L",41.8065808353861,1,0,6
"143",143,143,0,"L",47.052246236454,1,0,6
"144",144,144,3.26543262256309,"L",28.4690212833611,NA,0,4
"145",145,145,3.14454902820289,"L",20.9146951496601,NA,0,6
"146",146,146,1.59119781833142,"L",31.1929549745538,NA,0,4
"147",147,147,1.27432320797816,"L",40.2756805470044,1,0,1
"148",148,148,3.05721198963001,"L",19.3867113179781,NA,0,8
"149",149,149,1.87750979457051,"L",37.0072299873287,NA,0,2
"150",150,150,0,"L",40.5466958687048,1,0,4
"151",151,151,3.66349303321913,"H",19.7320304004984,1,0,6
"152",152,152,0,"H",40.3198403457349,1,0,5
"153",153,153,0,"H",47.1434707992118,1,0,5
"154",154,154,6.45571965221316,"H",11.4295869721608,NA,0,3
"155",155,155,4.22655712775886,"H",22.7477507152341,1,0,3
"156",156,156,3.31481082625687,"H",22.4626436672427,1,0,4
"157",157,157,2.53386640679091,"H",21.9885829521851,1,0,7
"158",158,158,2.98834937717766,"H",24.2690208995884,1,0,5
"159",159,159,0,"H",46.3665466702797,1,0,5
"160",160,160,2.53619585083798,"H",31.2693271963434,1,0,2
"161",161,161,0.76036714380607,"H",39.0183979179371,1,0,2
"162",162,162,0,"H",47.9383571148088,1,0,4
"163",163,163,0,"H",40.5018001600931,1,0,4
"164",164,164,2.29189112111926,"H",30.1081114714796,1,0,4
"165",165,165,0.0594307571649602,"H",41.2497566960075,1,0,3
"166",166,166,2.87425455832854,"H",27.8214346545664,1,0,3
"167",167,167,0,"H",47.83398321635,1,0,6
"168",168,168,3.10339168971404,"H",25.9306544448842,1,0,5
"169",169,169,1.30442680716515,"H",31.2352284778248,1,0,6
"170",170,170,3.48138200780377,"H",25.2994239659472,1,0,3
"171",171,171,0.7403283755295,"H",34.8422034522349,1,0,4
"172",172,172,0,"H",36.8331110364673,1,0,8
"173",173,173,0.62811778886244,"H",36.2863951031457,1,0,4
"174",174,174,0,"H",46.755872108237,1,0,6
"175",175,175,2.90348855974153,"H",27.4393226484006,1,0,3
"176",176,176,0.232218062132599,"H",27.4503211834214,1,0,8
"177",177,177,0,"H",47.6823294854469,1,0,5
"178",178,178,0,"H",47.2024942855774,1,0,7
"179",179,179,2.77139317467809,"H",21.7793752377683,1,0,7
"180",180,180,2.08414272898808,"H",28.9782862735066,1,0,4
"181",181,181,0.71242821263149,"H",35.1548587085171,1,0,5
"182",182,182,0,"H",41.6162195403806,1,0,4
"183",183,183,3.81972310123965,"H",15.2321173764088,1,0,7
"184",184,184,2.61709138611332,"H",25.5072375878691,1,0,5
"185",185,185,1.87488804459572,"H",22.0641248963096,1,0,9
"186",186,186,3.59256864218041,"H",18.1960641068491,1,0,6
"187",187,187,0,"H",39.55769189437,1,0,4
"188",188,188,2.28444167571142,"H",26.0042545059865,1,0,6
"189",189,189,0,"H",39.9102608745325,1,0,5
"190",190,190,2.48662907425314,"H",26.0765276759863,1,0,4
"191",191,191,5.53751926962286,"H",12.6362795507366,NA,0,5
"192",192,192,1.91773294396698,"H",28.8135289717805,1,0,6
"193",193,193,7.80122895622626,"H",9.75827364555814,NA,0,2
"194",194,194,1.83968957904726,"H",27.1813545641574,1,0,6
"195",195,195,2.89562617689371,"H",24.5463585008274,1,0,4
"196",196,196,0.65190956322476,"H",35.9280309968374,1,0,5
"197",197,197,5.83214895296842,"H",18.1597136597742,1,0,3
"198",198,198,2.34406927255914,"H",20.0804249924692,1,0,9
"199",199,199,0,"H",42.7635999167761,1,0,5
"200",200,200,0.49553393479437,"H",35.7194882845337,1,0,5
"201",201,201,1.82744466429576,"H",33.2166051012549,1,0,3
"202",202,202,5.59354740520939,"H",12.7099749590863,NA,0,5
"203",203,203,0,"H",46.2419560561803,1,0,4
"204",204,204,2.96531944293529,"H",20.6149697035551,1,0,7
"205",205,205,0,"H",47.1040447328917,1,0,5
"206",206,206,0,"H",47.2382379481738,1,0,3
"207",207,207,4.07135307313874,"H",12.7340956808491,NA,0,7
"208",208,208,1.69819142464548,"H",30.5988010560924,1,0,4
"209",209,209,1.15999188767746,"H",32.6291263083165,1,0,4
"210",210,210,0.59327596789226,"H",32.3020685037429,1,0,7
"211",211,211,0,"H",47.3975304640745,1,0,7
"212",212,212,6.82248315336183,"H",10.7837098762393,NA,0,4
"213",213,213,0,"H",40.1278272078796,1,0,7
"214",214,214,0,"H",47.7879264414818,1,0,6
"215",215,215,1.10690999869257,"H",31.7789381875233,1,0,5
"216",216,216,2.49660371625796,"H",18.5875474199653,1,0,8
"217",217,217,0,"H",42.2208241943693,1,0,3
"218",218,218,0.50545525699854,"H",41.7852861512791,1,0,3
"219",219,219,0.187463349476459,"H",27.4547053841027,1,0,9
"220",220,220,0,"H",41.0681238537993,1,0,4
"221",221,221,3.71714108316228,"H",19.1797480007464,1,0,6
"222",222,222,0,"H",37.9469957756556,1,0,6
"223",223,223,4.2963882911019,"H",21.2339420024644,1,0,4
"224",224,224,0,"H",41.2403437462889,1,0,5
"225",225,225,3.25837723137811,"H",21.8179902630773,1,0,6
"226",226,226,6.58520686868578,"H",12.4554609366439,NA,0,3
"227",227,227,0,"H",41.1886155097322,1,0,8
"228",228,228,5.00939439246431,"H",21.5590062874285,1,0,3
"229",229,229,0,"H",42.5286019443788,1,0,4
"230",230,230,0,"H",44.7253839166327,1,0,4
"231",231,231,0.662176069431009,"H",29.2650498788465,1,0,8
"232",232,232,4.61298281718045,"H",13.4888022523035,1,0,6
"233",233,233,0,"H",36.5475525175221,1,0,6
"234",234,234,0.545117553975429,"H",32.0667597644709,1,0,6
"235",235,235,0.923579824715849,"H",23.0971062194217,1,0,8
"236",236,236,0,"H",44.2032832250338,1,0,7
"237",237,237,6.00744363414124,"H",15.7402459601109,1,0,4
"238",238,238,2.5526716073975,"H",29.8610693495382,1,0,4
"239",239,239,8.3103146626614,"H",6.70953601747753,NA,0,2
"240",240,240,0,"H",46.8417796464637,1,0,4
"241",241,241,6.11009626509622,"H",11.1559435704892,NA,0,5
"242",242,242,0,"H",48,1,0,5
"243",243,243,0,"H",36.1704491142692,1,0,8
"244",244,244,0,"H",39.3615466345948,1,0,7
"245",245,245,0,"H",48,1,0,7
"246",246,246,5.8998623656109,"H",14.5551460409706,1,0,4
"247",247,247,0,"H",46.1465410014445,1,0,8
"248",248,248,0.88485278347507,"H",31.4115514902906,1,0,6
"249",249,249,6.2905378269963,"H",14.441289482198,1,0,4
"250",250,250,3.07521789595485,"H",27.7717764540152,1,0,4
"251",251,251,8.4843621998094,"H",6.84096494628625,NA,0,2
"252",252,252,0,"H",42.34737340951,1,0,7
"253",253,253,0.368223158270119,"H",27.1750262184577,1,0,8
"254",254,254,0,"H",46.8574354212985,1,0,4
"255",255,255,0,"H",44.6834977756762,1,0,7
"256",256,256,1.13265117127448,"H",37.0120676162568,1,0,3
"257",257,257,0,"H",46.9429997510954,1,0,3
"258",258,258,0.984605535399169,"H",32.75808493644,1,0,5
"259",259,259,1.16438852185383,"H",36.4281228137287,1,0,4
"260",260,260,0,"H",44.6477542877197,1,0,4
"261",261,261,0,"H",47.2752886199477,1,0,6
"262",262,262,0,"H",43.9148773081431,1,0,3
"263",263,263,0.72051956644282,"H",32.7013691646131,1,0,5
"264",264,264,2.98891224460676,"H",24.2665647508069,1,0,4
"265",265,265,5.99579362757504,"H",8.79108235239983,NA,0,5
"266",266,266,0.79779978999868,"H",28.6096009163694,1,0,6
"267",267,267,5.49559141835198,"H",14.0919647199186,1,0,5
"268",268,268,0,"H",42.5115037956868,1,0,7
"269",269,269,0,"H",37.8165845918723,1,0,5
"270",270,270,0,"H",38.3794491853565,1,0,7
"271",271,271,3.11645234161988,"H",20.8463897820223,1,0,6
"272",272,272,0,"H",35.693583210981,1,0,7
"273",273,273,6.68943872470409,"H",11.0460855649276,NA,0,4
"274",274,274,4.69321447182447,"H",12.8205186684023,NA,0,7
"275",275,275,0.10275402301922,"H",40.4243460813707,1,0,3
"276",276,276,0,"H",37.6651776902631,1,0,6
"277",277,277,5.38436648761854,"H",13.17730987221,NA,0,5
"278",278,278,0,"H",45.029499662278,1,0,3
"279",279,279,5.47917195623741,"H",17.3454314636913,1,0,4
"280",280,280,0,"H",43.9815120831386,1,0,6
"281",281,281,0,"H",35.5295649336312,1,0,7
"282",282,282,0,"H",48,1,0,5
"283",283,283,0,"H",39.2068727210757,1,0,4
"284",284,284,6.89299711985514,"H",10.0941943860867,NA,0,4
"285",285,285,1.31037333104759,"H",28.2820072827014,1,0,8
"286",286,286,6.10027244277298,"H",16.5442657042634,1,0,3
"287",287,287,6.36397792752832,"H",13.4208235889673,1,0,4
"288",288,288,0,"H",48,1,0,6
"289",289,289,0,"H",47.082786683679,1,0,4
"290",290,290,0,"H",42.1658071540296,1,0,5
"291",291,291,0,"H",46.5061850204048,1,0,4
"292",292,292,1.59885165542364,"H",35.041374594515,1,0,4
"293",293,293,5.82294962331653,"H",16.9907652800733,1,0,3
"294",294,294,0,"H",40.9044707780365,1,0,6
"295",295,295,4.87622562190518,"H",14.9491972862319,1,0,5
"296",296,296,0,"H",46.6749163811857,1,0,5
"297",297,297,4.4112590902485,"H",15.8326876061884,1,0,6
"298",298,298,3.88317889459431,"H",20.8734011872248,1,0,6
"299",299,299,0,"H",42.1812520643019,1,0,5
"300",300,300,0,"H",43.1172716773454,1,0,7
