"","X","AgentNo","Perceived_Support","Vulnerability_Group","Distress","MDD_onset","Appropriate_Received_support_count","Inappropriate_Received_support_count"
"1",1,1,5.38683599866927,"L",35.1210792785341,NA,6,0
"2",2,2,8.84956236938015,"L",26.6291823881593,NA,7,0
"3",3,3,10,"L",5.48719720445065,NA,5,0
"4",4,4,3.42606474915519,"L",41.322626549141,1,3,0
"5",5,5,5.13024106128141,"L",34.4589480962266,NA,4,0
"6",6,6,7.21512953229249,"L",36.8794347681782,NA,8,0
"7",7,7,9.72153667062521,"L",8.44238543727181,NA,1,0
"8",8,8,8.13493552291766,"L",22.5566449909048,NA,5,0
"9",9,9,4.37036048229784,"L",41.7202451681549,1,6,0
"10",10,10,5.6084889523685,"L",40.326593662392,1,7,0
"11",11,11,6.71851473106071,"L",35.9282993553714,NA,8,0
"12",12,12,10,"L",4.36363636363637,NA,6,0
"13",13,13,9.70399539591745,"L",14.8825655450875,NA,5,0
"14",14,14,8.5132210153155,"L",16.1968537513506,NA,2,0
"15",15,15,6.02200998663902,"L",29.8039564219388,NA,4,0
"16",16,16,8.64951175209135,"L",17.2566759908741,NA,3,0
"17",17,17,10,"L",11.4697171768682,NA,6,0
"18",18,18,10,"L",4.46000960079784,NA,4,0
"19",19,19,10,"L",5.71833719093014,NA,8,0
"20",20,20,6.16880970383063,"L",32.2179212923754,NA,6,0
"21",21,21,5.08793968316168,"L",39.0344450189309,NA,6,0
"22",22,22,8.5252378795296,"L",23.3989619802345,NA,6,0
"23",23,23,7.67909042276442,"L",23.7821508824825,NA,4,0
"24",24,24,10,"L",13.0073481872678,NA,6,0
"25",25,25,10,"L",11.6842402376573,NA,8,0
"26",26,26,6.05023176716641,"L",33.4989886523648,NA,6,0
"27",27,27,5.16566562838852,"L",35.2589136215774,NA,5,0
"28",28,28,10,"L",5.62790252369913,NA,5,0
"29",29,29,10,"L",5.26689592765814,NA,4,0
"30",30,30,2.72100822636858,"L",40.8356004667553,1,2,0
"31",31,31,8.52786781340837,"L",23.8329404505817,NA,6,0
"32",32,32,2.77025350173935,"L",44.3116210833192,1,3,0
"33",33,33,9.54628897001967,"L",10.1616481308233,NA,2,0
"34",34,34,10,"L",11.3521228964864,NA,3,0
"35",35,35,10,"L",15.2587263789028,NA,6,0
"36",36,36,7.96207671025768,"L",21.0836652643301,NA,4,0
"37",37,37,10,"L",18.72272173212,NA,8,0
"38",38,38,10,"L",14.9376464022493,NA,6,0
"39",39,39,10,"L",13.868389615552,NA,5,0
"40",40,40,2.61947774896398,"L",41.7877334590662,1,2,0
"41",41,41,10,"L",13.6022236354564,NA,4,0
"42",42,42,9.39842947265133,"L",15.4523077557033,NA,4,0
"43",43,43,9.249157710094,"L",24.9491299923171,NA,7,0
"44",44,44,10,"L",9.29471764340997,NA,5,0
"45",45,45,7.34746377859265,"L",35.2837944206866,NA,8,0
"46",46,46,5.31514104893431,"L",33.4612026955594,NA,4,0
"47",47,47,9.82796945022419,"L",26.2415878535672,NA,9,0
"48",48,48,1.62058541188016,"L",46.0829000208866,1,2,0
"49",49,49,4.15172097245231,"L",41.4652175747536,1,4,0
"50",50,50,10,"L",8.54453572809526,NA,6,0
"51",51,51,3.94187251310796,"L",40.2809199428017,1,4,0
"52",52,52,5.03472046665847,"L",34.3030379636721,NA,4,0
"53",53,53,9.57854949012399,"L",20.139056770368,NA,6,0
"54",54,54,5.32572389487177,"L",37.2968411860141,NA,5,0
"55",55,55,10,"L",13.4587118914435,NA,4,0
"56",56,56,4.90050873029977,"L",44.0523255405101,1,7,0
"57",57,57,2.38317503230646,"L",43.1370544044809,1,2,0
"58",58,58,6.07220702078193,"L",30.794005727497,NA,4,0
"59",59,59,5.29503375031054,"L",35.4580345440995,NA,4,0
"60",60,60,10,"L",6.32107057913461,NA,5,0
"61",61,61,8.90439406577498,"L",21.489916803891,NA,6,0
"62",62,62,4.75368284294382,"L",38.2021112307906,NA,5,0
"63",63,63,2.99737859088927,"L",42.0478025124832,1,3,0
"64",64,64,8.51265081614256,"L",30.0720691659234,NA,8,0
"65",65,65,10,"L",10.5804008626803,NA,4,0
"66",66,66,10,"L",9.7889100446535,NA,4,0
"67",67,67,5.32109835958108,"L",37.5079344309189,NA,6,0
"68",68,68,9.00043946662918,"L",18.7799005092545,NA,4,0
"69",69,69,10,"L",16.8135635298254,NA,5,0
"70",70,70,5.50055629843846,"L",32.3339361522685,NA,3,0
"71",71,71,10,"L",7.34384949468922,NA,5,0
"72",72,72,8.16253174468875,"L",21.2907705686309,NA,5,0
"73",73,73,10,"L",9.3855115157298,NA,6,0
"74",74,74,10,"L",16.8866793652742,NA,7,0
"75",75,75,7.88514586500823,"L",19.0011816799641,NA,2,0
"76",76,76,10,"L",17.2008313480934,NA,7,0
"77",77,77,8.12214967766777,"L",21.1488014065406,NA,4,0
"78",78,78,10,"L",6.60733192100783,NA,7,0
"79",79,79,6.47760849650949,"L",28.261344742504,NA,4,0
"80",80,80,10,"L",7.91960737807677,NA,5,0
"81",81,81,10,"L",4.64863283851777,NA,7,0
"82",82,82,3.14615199444816,"L",39.6167912969535,NA,2,0
"83",83,83,6.58882581666112,"L",25.1033055272969,NA,3,0
"84",84,84,3.29472095677629,"L",42.1503085522489,1,4,0
"85",85,85,10,"L",10.648648085098,NA,4,0
"86",86,86,9.57060392452404,"L",15.4646374202587,NA,4,0
"87",87,87,10,"L",7.4354867597534,NA,5,0
"88",88,88,10,"L",4.42971440514719,NA,5,0
"89",89,89,10,"L",10.9875752677718,NA,4,0
"90",90,90,8.49046556353569,"L",24.6961502682079,NA,6,0
"91",91,91,8.07216929681599,"L",31.1032612502575,NA,8,0
"92",92,92,3.26180763347074,"L",38.7302939630368,NA,3,0
"93",93,93,8.08638280229643,"L",18.3776023172519,NA,4,0
"94",94,94,10,"L",9.15425766791135,NA,5,0
"95",95,95,10,"L",16.7831787479872,NA,5,0
"96",96,96,10,"L",12.7983871091919,NA,5,0
"97",97,97,7.94193891948089,"L",26.7079028968107,NA,5,0
"98",98,98,6.01919896006584,"L",27.2071318106218,NA,3,0
"99",99,99,9.7972894962877,"L",12.8209185616537,NA,5,0
"100",100,100,10,"L",17.270592678169,NA,8,0
"101",101,101,7.49280625265092,"L",31.0859363520687,NA,7,0
"102",102,102,7.42264961730689,"L",27.2557107608427,NA,5,0
"103",103,103,5.63029175661504,"L",29.3496359711344,NA,3,0
"104",104,104,10,"L",6.27918417688289,NA,3,0
"105",105,105,10,"L",10.8690279535949,NA,6,0
"106",106,106,9.5350978740491,"L",19.3104820041494,NA,6,0
"107",107,107,9.16021051025018,"L",18.9099905007265,NA,5,0
"108",108,108,10,"L",4.94062663750216,NA,6,0
"109",109,109,10,"L",9.62696838714185,NA,8,0
"110",110,110,6.40671280017123,"L",24.1797986901619,NA,3,0
"111",111,111,10,"L",5.24599060727792,NA,9,0
"112",112,112,10,"L",14.4883492453786,NA,7,0
"113",113,113,8.04845379376784,"L",29.9340198090131,NA,8,0
"114",114,114,10,"L",9.43618451753123,NA,3,0
"115",115,115,7.04700668947771,"L",29.2130617186427,NA,5,0
"116",116,116,7.37458170531318,"L",25.4927343768152,NA,5,0
"117",117,117,10,"L",5.02439787628299,NA,6,0
"118",118,118,8.84462271723896,"L",17.8052826884118,NA,5,0
"119",119,119,10,"L",4.77920373410664,NA,5,0
"120",120,120,3.50672468347475,"L",37.4706559266556,NA,3,0
"121",121,121,8.32613639812917,"L",31.9041320808909,NA,10,0
"122",122,122,9.65070865359157,"L",21.2878167843277,NA,7,0
"123",123,123,5.04947112444788,"L",32.8386714569547,NA,3,0
"124",124,124,10,"L",9.64001971781255,NA,11,0
"125",125,125,5.5443903551437,"L",32.4608420866457,NA,3,0
"126",126,126,4.62150435401127,"L",35.7243446370418,NA,4,0
"127",127,127,9.46992399375886,"L",15.013058936325,NA,4,0
"128",128,128,10,"L",5.06724619575015,NA,7,0
"129",129,129,3.28137879930437,"L",41.4448925121264,1,4,0
"130",130,130,8.78950909813866,"L",13.2730512081222,NA,2,0
"131",131,131,8.64769811416045,"L",20.7009536836635,NA,5,0
"132",132,132,7.21918465374038,"L",23.8162851473147,NA,3,0
"133",133,133,10,"L",7.53778794651683,NA,3,0
"134",134,134,8.41408089241013,"L",22.0385561058467,NA,4,0
"135",135,135,10,"L",5.92106953232805,NA,6,0
"136",136,136,10,"L",10.1182961508801,NA,4,0
"137",137,137,10,"L",15.6230105166578,NA,5,0
"138",138,138,4.0919676180929,"L",41.5986867574128,1,5,0
"139",139,139,8.47318866597489,"L",23.4351767302914,NA,6,0
"140",140,140,2.88352687181905,"L",42.2264281956987,1,3,0
"141",141,141,5.53618783401325,"L",30.0148167243058,NA,3,0
"142",142,142,4.29091733684763,"L",34.5578152573922,NA,3,0
"143",143,143,4.53629972254857,"L",39.9143284834244,NA,6,0
"144",144,144,10,"L",14.8837240552022,NA,7,0
"145",145,145,10,"L",10.3683350869539,NA,5,0
"146",146,146,7.19119781833142,"L",22.0929549745538,NA,4,0
"147",147,147,4.77432320797816,"L",37.3484078197317,NA,4,0
"148",148,148,10,"L",5.99982402639634,NA,8,0
"149",149,149,7.47750979457051,"L",26.4435936236923,NA,6,0
"150",150,150,7.344390328601,"L",30.5881149297411,NA,7,0
"151",151,151,10,"H",9.52698051254689,NA,6,0
"152",152,152,6.38471821695566,"H",32.4212295987389,1,5,0
"153",153,153,4.53649361459538,"H",42.3953005908565,1,6,0
"154",154,154,10,"H",6.50543405518612,NA,4,0
"155",155,155,9.82655712775886,"H",14.856841624325,1,5,0
"156",156,156,8.21481082625687,"H",16.4171891217882,1,3,0
"157",157,157,10,"H",10.2374070292339,NA,6,0
"158",158,158,10,"H",13.1273615255782,NA,7,0
"159",159,159,7.2917138081044,"H",31.9634306555444,1,8,0
"160",160,160,10,"H",23.7817086373286,1,9,0
"161",161,161,6.36036714380607,"H",33.227488827028,1,6,0
"162",162,162,3.51994328638539,"H",42.6311565685001,1,4,0
"163",163,163,3.97404677104205,"H",34.1587049990893,1,2,0
"164",164,164,7.89189112111926,"H",21.3262932896614,1,4,0
"165",165,165,6.35943075716496,"H",34.3770294232802,1,6,0
"166",166,166,8.47425455832854,"H",19.4214346545664,1,5,0
"167",167,167,4.25371131235734,"H",43.3747142733498,1,6,0
"168",168,168,10,"H",16.6043067238971,1,7,0
"169",169,169,6.90442680716515,"H",22.6443193869157,1,2,0
"170",170,170,9.08138200780377,"H",20.8448785114017,1,5,0
"171",171,171,6.3403283755295,"H",26.1240216340531,1,4,0
"172",172,172,7.17857285775244,"H",26.4116820752621,1,5,0
"173",173,173,5.52811778886244,"H",29.159122375873,1,3,0
"174",174,174,2.05168603854254,"H",39.9380972863598,1,1,0
"175",175,175,9.20348855974153,"H",21.902959012037,1,6,0
"176",176,176,10,"H",17.1470881038091,1,7,0
"177",177,177,0.86639884095639,"H",46.3829868758267,1,1,0
"178",178,178,6.22661163276061,"H",38.1384219661355,1,8,0
"179",179,179,10,"H",10.2832649058916,NA,4,0
"180",180,180,9.08414272898808,"H",24.332831728052,1,6,0
"181",181,181,9.11242821263149,"H",27.3912223448808,1,7,0
"182",182,182,5.23959967512637,"H",34.9999286903577,1,4,0
"183",183,183,10,"H",8.36105724981225,NA,3,0
"184",184,184,9.61709138611332,"H",19.1436012242328,1,5,0
"185",185,185,10,"H",11.4481852721084,NA,4,0
"186",186,186,10,"H",9.98224415187302,NA,4,0
"187",187,187,7.58330429913476,"H",31.5183085128665,1,7,0
"188",188,188,10,"H",13.9105166288432,1,6,0
"189",189,189,6.39121554000303,"H",31.1837867345322,1,5,0
"190",190,190,8.78662907425314,"H",17.6765276759863,1,5,0
"191",191,191,10,"H",7.43401032703168,NA,3,0
"192",192,192,10,"H",13.5290682241321,1,6,0
